Disease,Description,Essential_Features
Disorders of intellectual development,"Disorders of intellectual development are a group of etiologically diverse conditions originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately two or more standard deviations below the mean (approximately less than the 2.3rd percentile), based on appropriately normed, individually administered standardized tests. Where appropriately normed and standardized tests are not available, diagnosis of disorders of intellectual development requires greater reliance on clinical judgment based on appropriate assessment of comparable behavioural indicators.","The presence of significant limitations in intellectual functioning across various domains such as perceptual reasoning, working memory, processing speed, and verbal comprehension. There is often substantial variability in the extent to which any of these domains are affected in an individual. Whenever possible, performance should be measured using appropriately normed, standardized tests of intellectual functioning and found to be approximately 2 or more standard deviations below the mean (i.e., approximately less than the 2.3rd percentile). In situations where appropriately normed and standardized tests are not available, assessment of intellectual functioning requires greater reliance on clinical judgment based on appropriate evidence and assessment, which may include the use of behavioural indicators of intellectual functioning (see Table 6.1).
The presence of significant limitations in adaptive behaviour, which refers to the set of conceptual, social, and practical skills that have been learned and are performed by people in their everyday lives. Conceptual skills are those that involve the application of knowledge (e.g., reading, writing, calculating, solving problems, and making decisions) and communication; social skills include managing interpersonal interactions and relationships, social responsibility, following rules and obeying laws, as well as avoiding victimization; and practical skills are involved in areas such as self-care, health and safety, occupational skills, recreation, use of money, mobility and transportation, as well as use of home appliances and technological devices. Expectations of adaptive functioning may change in response to environmental demands that change with age. Whenever possible, performance should be measured with appropriately normed, standardized tests of adaptive behaviour and the total score found to be approximately 2 or more standard deviations below the mean (i.e., approximately less than the 2.3rd percentile). In situations where appropriately normed and standardized tests are not available, assessment of adaptive behaviour functioning requires greater reliance on clinical judgment based on appropriate assessment, which may include the use of behavioural indicators of adaptive behaviour skills (see Tables 6.2 through 6.4).
Onset occurs during the developmental period. Among adults with Disorders of Intellectual Development who come to clinical attention without a previous diagnosis, it is possible to establish developmental onset through the person’s history, i.e., retrospective diagnosis."
Developmental speech or language disorders,"Developmental speech or language disorders arise during the developmental period and are characterised by difficulties in understanding or producing speech and language or in using language in context for the purposes of communication that are outside the limits of normal variation expected for age and level of intellectual functioning. The observed speech and language problems are not attributable to regional, social, or cultural/ethnic language variations and are not fully explained by anatomical or neurological abnormalities. The presumptive aetiology for Developmental speech or language disorders is complex, and in many individual cases, is unknown.","Persistent difficulties in understanding or producing speech or language or in using language in context for the purposes of communication that are not better accounted for by Developmental Speech Sound Disorder, Developmental Speech Fluency Disorder, Developmental Language Disorder, or Autism Spectrum Disorder.
The speech or language difficulties are persistent over time.
The onset of the speech or language difficulties occurs during the developmental period and speech or language abilities in the affected areas are markedly below what would be expected for age.
The speech or language difficulties result in significant impairment in social communication, or in personal, family, social, educational, occupational or other important areas of functioning.
The speech or language difficulties are not better accounted for by a Disorder of Intellectual Development, a Disease of the Nervous System, a sensory impairment, or a structural abnormality."
Autism spectrum disorder,"Autism spectrum disorder is characterised by persistent deficits in the ability to initiate and to sustain reciprocal social interaction and social communication, and by a range of restricted, repetitive, and inflexible patterns of behaviour, interests or activities that are clearly atypical or excessive for the individual’s age and sociocultural context. The onset of the disorder occurs during the developmental period, typically in early childhood, but symptoms may not become fully manifest until later, when social demands exceed limited capacities. Deficits are sufficiently severe to cause impairment in personal, family, social, educational, occupational or other important areas of functioning and are usually a pervasive feature of the individual’s functioning observable in all settings, although they may vary according to social, educational, or other context. Individuals along the spectrum exhibit a full range of intellectual functioning and language abilities.","Persistent deficits in initiating and sustaining social communication and reciprocal social interactions that are outside the expected range of typical functioning given the individual’s age and level of intellectual development. Specific manifestations of these deficits vary according to chronological age, verbal and intellectual ability, and disorder severity. Manifestations may include limitations in the following:
Understanding of, interest in, or inappropriate responses to the verbal or non-verbal social communications of others.
Integration of spoken language with typical complimentary non-verbal cues, such as eye contact, gestures, facial expressions and body language. These non-verbal behaviours may also be reduced in frequency or intensity.
Understanding and use of language in social contexts and ability to initiate and sustain reciprocal social conversations.
Social awareness, leading to behaviour that is not appropriately modulated according to the social context.
Ability to imagine and respond to the feelings, emotional states, and attitudes of others.
Mutual sharing of interests.
Ability to make and sustain typical peer relationships.
Persistent restricted, repetitive, and inflexible patterns of behaviour, interests, or activities that are clearly atypical or excessive for the individual’s age and sociocultural context. These may include:
Lack of adaptability to new experiences and circumstances, with associated distress, that can be evoked by trivial changes to a familiar environment or in response to unanticipated events.
Inflexible adherence to particular routines; for example, these may be geographic such as following familiar routes, or may require precise timing such as mealtimes or transport.
Excessive adherence to rules (e.g., when playing games).
Excessive and persistent ritualized patterns of behaviour (e.g., preoccupation with lining up or sorting objects in a particular way) that serve no apparent external purpose.
Repetitive and stereotyped motor movements, such as whole body movements (e.g., rocking), atypical gait (e.g., walking on tiptoes), unusual hand or finger movements and posturing. These behaviours are particularly common during early childhood.
Persistent preoccupation with one or more special interests, parts of objects, or specific types of stimuli (including media) or an unusually strong attachment to particular objects (excluding typical comforters).
Lifelong excessive and persistent hypersensitivity or hyposensitivity to sensory stimuli or unusual interest in a sensory stimulus, which may include actual or anticipated sounds, light, textures (especially clothing and food), odors and tastes, heat, cold, or pain.
The onset of the disorder occurs during the developmental period, typically in early childhood, but characteristic symptoms may not become fully manifest until later, when social demands exceed limited capacities.
The symptoms result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. Some individuals with Autism Spectrum Disorder are able to function adequately in many contexts through exceptional effort, such that their deficits may not be apparent to others. A diagnosis of Autism Spectrum Disorder is still appropriate in such cases.
"
Developmental learning disorder,"Developmental learning disorder is characterised by significant and persistent difficulties in learning academic skills, which may include reading, writing, or arithmetic. The individual’s performance in the affected academic skill(s) is markedly below what would be expected for chronological age and general level of intellectual functioning, and results in significant impairment in the individual’s academic or occupational functioning. Developmental learning disorder first manifests when academic skills are taught during the early school years. Developmental learning disorder is not due to a disorder of intellectual development, sensory impairment (vision or hearing), neurological or motor disorder, lack of availability of education, lack of proficiency in the language of academic instruction, or psychosocial adversity.","The presence of significant limitations in learning academic skills of reading, writing, or arithmetic, resulting in a skill level markedly below what would be expected for age. Limitations in learning are manifest despite appropriate academic instruction in the relevant areas. The limitations may be restricted to a single component of a skill (e.g., an inability to master basic numeracy, or to decode single words accurately and fluently) or affect all of reading, writing and arithmetic. Ideally, limitations are measured using appropriately normed and standardized tests.
Onset of the limitations typically occurs during the early school years, but in some individuals may not be identified until later in life, including into adulthood, when performance demands related to learning exceed limited capacities.
The limitations are not attributable to external factors, such as economic or environmental disadvantage, or lack of access to educational opportunities.
The learning difficulties are not better accounted for by a Disorder of Intellectual Development or another Neurodevelopmental Disorder or another condition such as a motor disorder or a sensory disorder of vision or hearing.
The learning difficulties result in significant impairment in the individual’s academic, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Developmental motor coordination disorder,"Developmental motor coordination disorder is characterised by a significant delay in the acquisition of gross and fine motor skills and impairment in the execution of coordinated motor skills that manifest in clumsiness, slowness, or inaccuracy of motor performance. Coordinated motor skills are markedly below that expected given the individual's chronological age and level of intellectual functioning. Onset of coordinated motor skills difficulties occurs during the developmental period and is typically apparent from early childhood. Coordinated motor skills difficulties cause significant and persistent limitations in functioning (e.g. in activities of daily living, school work, and vocational and leisure activities). Difficulties with coordinated motor skills are not solely attributable to a Disease of the Nervous System, Disease of the Musculoskeletal System or Connective Tissue, sensory impairment, and not better explained by a Disorder of Intellectual Development.","Significant delay in the acquisition of gross or fine motor skills and impairment in the execution of coordinated motor skills manifesting as clumsiness, slowness, or inaccuracy of motor performance.
Coordinated motor skills are markedly below that expected on the basis of age.
Onset of coordinated motor skill difficulties occurs during the developmental period and is typically apparent from early childhood.
Coordinated motor skills difficulties cause significant and persistent limitations in activities of daily living, school work, vocation and leisure activities, or other important areas of functioning.
Difficulties with coordinated motor skills are not are not better accounted for by a Disease of the Nervous System, Disease of the Musculoskeletal System or Connective Tissue, sensory impairment, or a Disorder of Intellectual Development."
Attention deficit hyperactivity disorder,"Attention deficit hyperactivity disorder is characterised by a persistent pattern (at least 6 months) of inattention and/or hyperactivity-impulsivity that has a direct negative impact on academic, occupational, or social functioning. There is evidence of significant inattention and/or hyperactivity-impulsivity symptoms prior to age 12, typically by early to mid-childhood, though some individuals may first come to clinical attention later. The degree of inattention and hyperactivity-impulsivity is outside the limits of normal variation expected for age and level of intellectual functioning. Inattention refers to significant difficulty in sustaining attention to tasks that do not provide a high level of stimulation or frequent rewards, distractibility and problems with organisation. Hyperactivity refers to excessive motor activity and difficulties with remaining still, most evident in structured situations that require behavioural self-control. Impulsivity is a tendency to act in response to immediate stimuli, without deliberation or consideration of the risks and consequences. The relative balance and the specific manifestations of inattentive and hyperactive-impulsive characteristics varies across individuals and may change over the course of development. In order for a diagnosis to be made, manifestations of inattention and/or hyperactivity-impulsivity must be evident across multiple situations or settings (e.g., home, school, work, with friends or relatives), but are likely to vary according to the structure and demands of the setting. Symptoms are not better accounted for by another mental, behavioural, or neurodevelopmental disorder and are not due to the effect of a substance or medication.","A persistent pattern (e.g., at least 6 months) of inattention symptoms and/or a combination of hyperactivity and impulsivity symptoms that is outside the limits of normal variation expected for age and level of intellectual development. Symptoms vary according to chronological age and disorder severity.
Inattention
Several symptoms of inattention that are persistent, and sufficiently severe that they have a direct negative impact on academic, occupational, or social functioning. Symptoms are typically from the following clusters:
Difficulty sustaining attention to tasks that do not provide a high level of stimulation or reward or require sustained mental effort; lacking attention to detail; making careless mistakes in school or work assignments; not completing tasks.
Easily distracted by extraneous stimuli or thoughts not related to the task at hand; often does not seem to listen when spoken to directly; frequently appears to be daydreaming or to have mind elsewhere.
Loses things; is forgetful in daily activities; has difficulty remembering to complete upcoming daily tasks or activities; difficulty planning, managing and organizing schoolwork, tasks and other activities.
Note: Inattention may not be evident when the individual is engaged in activities that provide intense stimulation and frequent rewards.

Hyperactivity impulsivity
Several symptoms of hyperactivity/impulsivity that are persistent, and sufficiently severe that they have a direct negative impact on academic, occupational, or social functioning. These tend to be most evident in structured situations that require behavioural self-control. Symptoms are typically from the following clusters:

Excessive motor activity; leaves seat when expected to sit still; often runs about; has difficulty sitting still without fidgeting (younger children); feelings of physical restlessness, a sense of discomfort with being quiet or sitting still (adolescents and adults).
Difficulty engaging in activities quietly; talks too much.
Blurts out answers in school, comments at work; difficulty waiting turn in conversation, games, or activities; interrupts or intrudes on others conversations or games.
A tendency to act in response to immediate stimuli without deliberation or consideration of risks and consequences (e.g., engaging in behaviours with potential for physical injury; impulsive decisions; reckless driving)
Evidence of significant inattention and/or hyperactivity-impulsivity symptoms prior to age 12, though some individuals may first come to clinical attention later in adolescence or as adults, often when demands exceed the individual’s capacity to compensate for limitations.

Manifestations of inattention and/or hyperactivity-impulsivity must be evident across multiple situations or settings (e.g., home, school, work, with friends or relatives), but are likely to vary according to the structure and demands of the setting.

Symptoms are not better accounted for by another mental disorder (e.g., an Anxiety or Fear-Related Disorder, a Neurocognitive Disorder such as Delirium).

Symptoms are not due to the effects of a substance (e.g., cocaine) or medication (e.g., bronchodilators, thyroid replacement medication) on the central nervous system, including and withdrawal effects, and are not due to a Disease of the Nervous System.
"
Stereotyped movement disorder,"Stereotyped movement disorder is characterised by the persistent (e.g., lasting several months) presence of voluntary, repetitive, stereotyped, apparently purposeless (and often rhythmic) movements that arise during the early developmental period, are not caused by the direct physiological effects of a substance or medication (including withdrawal), and markedly interfere with normal activities or result in self-inflicted bodily injury. Stereotyped movements that are non-injurious can include body rocking, head rocking, finger-flicking mannerisms, and hand flapping. Stereotyped self-injurious behaviours can include repetitive head banging, face slapping, eye poking, and biting of the hands, lips, or other body parts.","Persistent (e.g., lasting several months) presence of voluntary, repetitive, stereotyped, apparently purposeless, and often rhythmic, movements (e.g., body rocking, hand flapping, head banging, eye poking, and hand biting) that are not caused by the direct physiological effects of a substance or medication (including withdrawal).
Stereotyped movements result in significant interference with the ability to engage in normal daily activities or result in self-inflicted bodily injury severe enough to be an independent focus of clinical attention or that would result in self-injury if protective measures were not taken.
Onset occurs during the developmental period, typically at an early age."
Neurodevelopmental syndrome due to prenatal alcohol exposure,"A syndrome that involves significant neurodevelopmental features that are sufficiently severe to warrant specific clinical attention but that do not fulfill the diagnostic requirements of any of the specific Neurodevelopmental disorders and is judged to be a direct pathophysiological consequence of prenatal alcohol exposure, based on evidence from the history and physical examination.",
Secondary neurodevelopmental syndrome,"A syndrome that involves significant neurodevelopmental features that do not fulfill the diagnostic requirements of any of the specific neurodevelopmental disorders that is judged to be a direct pathophysiological consequence of a health condition not classified under mental and behavioural disorders (e.g., autistic-like features in Retts syndrome; aggression and self-mutilation in Lesch-Nyhan syndrome, abnormalities in language development in Williams syndrome), based on evidence from the history, physical examination, or laboratory findings.

This category should be used in addition to the diagnosis for the presumed underlying disorder or disease when the neurodevelopmental problems are sufficiently severe to warrant specific clinical attention.","The presence of significant difficulties arising during the developmental period in the acquisition and execution of specific intellectual, motor coordination, or social functions that do not fulfil the diagnostic requirements of Disorders of Intellectual Development, Autism Spectrum Disorder, or Stereotyped Movement Disorder and persist substantially beyond the expected age.

The symptoms are judged to be the direct pathophysiological consequence of a medical condition with onset during the developmental period, based on evidence from history, physical examination, or laboratory findings. This judgment depends on establishing that:

The medical condition is known to be capable of producing the symptoms;
The course of developmental difficulties (e.g., onset, remission, response of the neurodevelopmental symptoms to treatment of the etiological medical condition) is consistent with causation by the medical condition; and
The symptoms are not better accounted for by a Neurodevelopmental Disorder (e.g., a Disorders of Intellectual Development, Autism Spectrum Disorder, Developmental Motor Coordination Disorder) or the effects of a medication or substance.
The symptoms are a specific focus of clinical attention."
Schizophrenia,"Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal).","At least two of the following symptoms must be present (by the individual’s report or through observation by the clinician or other informants) most of the time for a period of 1 month or more. At least one of the qualifying symptoms should be from item a) through d) below:
Persistent delusions (e.g., grandiose delusions, delusions of reference, persecutory delusions).

Persistent hallucinations (most commonly auditory, although they may be in any sensory modality).

Disorganized thinking (formal thought disorder) (e.g., tangentiality and loose associations, irrelevant speech, neologisms). When severe, the person’s speech may be so incoherent as to be incomprehensible (‘word salad’).

Experiences of influence, passivity or control (i.e., the experience that one’s feelings, impulses, actions or thoughts are not generated by oneself, are being placed in one’s mind or withdrawn from one’s mind by others, or that one’s thoughts are being broadcast to others).

Negative symptoms such as affective flattening, alogia or paucity of speech, avolition, asociality and anhedonia.

Grossly disorganized behaviour that impedes goal-directed activity (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interferes with the ability to organize behaviour.)

Psychomotor disturbances such as catatonic restlessness or agitation, posturing, waxy flexibility, negativism, mutism, or stupor. Note: If the full syndrome of Catatonia is present in the context of Schizophrenia, the diagnosis of Catatonia Associated with Another Mental Disorder should also be assigned.

The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effects of a substance or medication (e.g., corticosteroids) on the central nervous system, including withdrawal effects (e.g., from alcohol)."
Schizoaffective disorder,"Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal).","All diagnostic requirements for Schizophrenia are met concurrently with mood symptoms that meet the diagnostic requirements of a Moderate or Severe Depressive Episode, a Manic Episode, or a Mixed Episode. Note: In making a diagnosis of Schizoaffective Disorder, Depressive Episodes must include depressed mood, not just diminished interest or pleasure.
The onset of the psychotic and mood symptoms is either simultaneous or occurs within a few days of one another.
The duration of symptomatic episodes is at least 1 month for both psychotic and mood symptoms.
The symptoms or behaviours are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effects of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal effects (e.g., from alcohol)."
Schizotypal disorder,"Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.","An enduring pattern of unusual speech, perceptions, beliefs and behaviours that are not of sufficient intensity or duration to meet the diagnostic requirements of Schizophrenia, Schizoaffective Disorder, or Delusional Disorder. The pattern includes several of the following symptoms:
Constricted affect, such that the individual appears cold and aloof;
Behaviour or appearance that is odd, eccentric, unusual, or peculiar and is inconsistent with cultural or subcultural norms;
Poor rapport with others and a tendency towards social withdrawal;
Unusual beliefs or magical thinking influencing the person’s behaviour in ways that are inconsistent with subcultural norms, but not reaching the diagnostic requirements for a delusion;
Unusual perceptual distortions such as intense illusions, depersonalization, derealization, or auditory or other hallucinations;
Suspiciousness or paranoid ideas;
Vague, circumstantial, metaphorical, overelaborate, or stereotyped thinking, manifest in odd speech without gross incoherence;
Obsessive ruminations without a sense that the obsession is foreign or unwanted, often with body dysmorphic, sexual, or aggressive content.
The individual has never met the diagnostic requirements for Schizophrenia, Schizoaffective Disorder, or Delusional Disorder. That is, transient delusions, hallucinations, formal thought disorder, or experiences of influence, passivity or control may occur, but do not last for more than 1 month.
Symptoms should have been present, continuously or episodically, for at least 2 years.
The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.
The symptoms are not a manifestation of another medical condition (e.g., a brain tumour), are not due to the effects of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal effects (e.g., from alcohol), and are not better accounted for by another Mental, Behavioural, or Neurodevelopmental Disorder."
Acute and transient psychotic disorder,"Acute and transient psychotic disorder is characterised by acute onset of psychotic symptoms that emerge without a prodrome and reach their maximal severity within two weeks. Symptoms may include delusions, hallucinations, disorganisation of thought processes, perplexity or confusion, and disturbances of affect and mood. Catatonia-like psychomotor disturbances may be present. Symptoms typically change rapidly, both in nature and intensity, from day to day, or even within a single day. The duration of the episode does not exceed 3 months, and most commonly lasts from a few days to 1 month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal).","Acute onset of psychotic symptoms, which can include delusions, hallucinations, disorganized thinking, or experiences of influence, passivity or control, that emerge without a prodrome, progressing from a non-psychotic state to a clearly psychotic state within 2 weeks. Psychomotor disturbances may also be present, including catatonia.
Symptoms change rapidly, both in nature and intensity. Such changes may occur from day to day, or even within a single day.
Absence of negative symptoms (i.e., affective flattening, alogia or paucity of speech, avolition, asociality, anhedonia) during the psychotic episode.
The duration of the symptoms does not exceed 3 months, and most commonly lasts from a few days to 1 month.
The symptoms or behaviours are not a manifestation of another medical condition (e.g., a brain tumour), are not due to the effects of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal effects (e.g., from alcohol), and are not better accounted for by Schizophrenia or Other Primary Psychotic Disorder."
