name,novel,publishing year,gender,description
Lewin von Vitzewitz,Before the Storm,1878,m,"Lewin von Vitzewitz is a prominent character in Theodor Fontane's novel ""Before the Storm."" He is depicted as a complex and multi-dimensional individual, possessing various characteristics and exhibiting significant actions throughout the story.

Physical Description:
Lewin von Vitzewitz is described as an attractive and well-built young man. He has a tall and sturdy frame, with a noble bearing that reflects his aristocratic background. His deep-set eyes, fair complexion, and neatly groomed brown hair add to his overall charm and attractiveness.

Mental Attributes:
Lewin is portrayed as a highly intelligent and introspective individual. He possesses a sharp intellect and a keen analytical mind. He often engages in deep philosophical and intellectual conversations, displaying a profound understanding of human nature and societal complexities.

Behavioral Traits:
Lewin exhibits a reserved and contemplative demeanor. He is known for his calm and composed nature, rarely showing overt emotional expressions. He tends to observe and analyze situations carefully before formulating his opinions or taking action. Lewin's behavior is often marked by a sense of dignity and integrity, and he is known for his principled approach to life.

Social Interactions:
Lewin occupies a respected position within his social circle. He is seen as a gentleman of high standing and is admired for his intellect and honorable character. While he enjoys the company of others, he also values solitude and introspection. Lewin is selective about his friendships, choosing individuals who share his intellectual and philosophical interests.

Key Actions:

Lewin's most significant action in the novel is his decision to abandon his promising career in the military, rejecting the societal expectations placed upon him as a nobleman. This action reflects his desire for personal freedom and his search for individual fulfillment.

Throughout the story, Lewin engages in intellectual debates and discussions with various characters, demonstrating his intellectual prowess and critical thinking abilities. He provides insightful commentary on political and social issues of the time, often challenging prevailing norms and ideologies.

Lewin forms a deep emotional connection with Effi Briest, the novel's protagonist, and their relationship plays a pivotal role in the narrative. Despite their differences in social status, Lewin's genuine affection for Effi leads him to confront societal conventions and question the established order.

Overall, Lewin von Vitzewitz is portrayed as a multifaceted character in ""Before the Storm."" His physical attributes, mental acuity, dignified behavior, and social standing contribute to his allure. His key actions of rejecting societal expectations, engaging in intellectual discourse, and pursuing an unconventional love interest showcase his individuality and complexity as a character."
Berndt von Vitzewitz,Before the Storm,1878,m,"Bernd von Vitzewitz, known as Herr auf Hohen-Vietz, is a character in Theodor Fontane's novel ""Before the Storm."" Here is a description of him based on the provided information:

Physical Description:
Bernd von Vitzewitz is described as a man in his late fifties with a ""sturdy figure,"" a dark complexion, and black hair. His physical appearance reflects his mature age and the years of service he spent in the Dragonerregiment Knobelsdorff.

Mental Attributes:
Bernd von Vitzewitz is portrayed as a contemplative and introspective individual. He carries the ""family character"" of the Vitzewitz, which tends to be thoughtful and brooding. Bernd's mental state has been deeply affected by the defeat of Prussia and the death of his beloved wife, Madeleine, after the Battle of Jena-Auerstedt in 1806. His grief and resentment fuel his strong hatred for Napoleon and his desire to restore Prussia's honor.

Behavioral Traits:
Bernd von Vitzewitz exhibits a determined and resolute nature. Fueled by his hatred for Napoleon and the ""Parisian terror men,"" he plans and leads attacks on French soldiers as a form of resistance. He is willing to take matters into his own hands, disregarding the caution of others, and forms volunteer militias, including Volkssturm-Kompanien, to combat the French occupation.

Social Interactions:
Bernd von Vitzewitz's social interactions revolve primarily around his family, including his children Lewin and Renate, and his sister, the Countess Amelie. He seeks solace and finds love and support in his children, hoping that they will bring about a positive change in the ""family character"" inherited from the days of Matthias von Vitzewitz.

Key Actions:

Bernd von Vitzewitz leads a search for thieves who have been committing burglaries in Hohen-Vietz and the surrounding villages. He believes these thieves are French marauders, although they turn out to be local troublemakers Muschwitz and Rosentreter.

Bernd von Vitzewitz plans and organizes attacks on Napoleon's soldiers, aiming to restore Prussia's honor and resist the French occupation. He forms volunteer militias and encourages others to join the cause.

Bernd's plan to ambush the French forces near the Oder River fails due to a lack of Russian support. Lewin is captured, and Bernd harshly blames himself for the unsuccessful operation.

Bernd participates in the rescue of Lewin from prison, alongside Hirschfeldt, Tubal, and Kniehase.

Additionally, Bernd von Vitzewitz expresses joy and approval upon learning of Lewin's engagement to Marie, emphasizing the importance of character and values over social status in their union.

Bernd von Vitzewitz's character embodies a mix of grief, determination, and patriotism as he strives to restore Prussia's honor and protect his family's legacy during a time of turmoil and occupation."
Renate von Vitzewitz,Before the Storm,1878,f,"Renate von Vitzewitz is a character in Theodor Fontane's novel ""Before the Storm."" Based on the additional information provided, here is a description of Renate, including different aspects of her physical, mental, behavioral, and social attributes, as well as key actions:

Physical Description:
There is no specific physical description of Renate von Vitzewitz provided in the available information. As a secondary character, her physical appearance is not given significant attention in the novel.

Mental Attributes:
Renate is depicted as having eyes that express imagination, intelligence, and loyalty. While her intellectual abilities and thought processes are not explicitly described, she is shown to possess a depth of emotion and sensitivity.

Behavioral Traits:
Renate's behavioral traits include a strong bond with her childhood friend, Marie Kniehase, whom she loves like a sister. Renate is known for her loyalty and caring nature, as seen when she tends to her brother Lewin after his breakdown at the Bohlsdorfer Krug inn.

Social Interactions:
Renate's social interactions primarily revolve around her family and close friends, including her brother Lewin and her friend Marie Kniehase. She is familiar with the modest social life at Hohen-Vietz and Schloss Guse, and she envies her cousin Kathinka for the glamorous Berlin society life.

Key Actions:

Renate informs her brother Lewin about the fire that destroys the Saalanbau (hall annex) at Hohen-Vietz, and she expresses an unexplained sense of joy upon seeing it in flames.

After the death of her aunt Amelie in late January 1813, Renate learns from her father that she will inherit Schloss Guse once she marries, as part of Aunt Amelie's ""family plan"" that involves matching Renate with Tubal von Ladalinski.

Renate's relationship with Tubal is complicated by doubts and uncertainties. Marie conveys Renate's concerns about Tubal's lack of self-assurance in his own love for her. Despite this, Renate remains committed to Tubal and asks him to wait before making any commitments.

Renate speaks the ninth verse of the Passion hymn ""O Haupt voll Blut und Wunden"" at Tubal's request on his deathbed. His death deeply affects Renate.

Towards the end of the novel, it is revealed through Renate's diary that she continues to live at Hohen-Vietz until her father's death. Afterward, Lewin and Marie take over the estate, while Renate moves to the noble ladies' foundation Kloster Lindow, avoiding becoming the ""Aunt Schorlemmer of her house."" Renate eventually dies and is buried at Kloster Lindow.

Renate von Vitzewitz's character embodies loyalty, emotional depth, and the challenges of love and uncertainty. While her actions may not drive the central plot, she contributes to the emotional landscape and dynamics of the Vitzewitz family, particularly in her relationship with Tubal."
Tante Brigitte Schorlemmer,Before the Storm,1878,f,"
Brigitte Schorlemmer is a character in Theodor Fontane's novel ""Before the Storm."" Here is a description of Brigitte, including different aspects of her physical, mental, behavioral, and social attributes, as well as key actions:

Physical Description:
Brigitte Schorlemmer is described as being in her fifties, often dressed in gray with a small tulle bonnet and white cloth. She is typically seen engaged in knitting scarves for ""her Greenlanders"" during her free time.

Mental Attributes:
Brigitte is depicted as a calm and serene individual. She exudes an aura of tranquility and peace, and while she may not possess the ability to spread joy or make a dull day less dreary, she is accompanied by an air of serenity.

Behavioral Traits:
Brigitte is known for her role as the housekeeper at Hohen-Vietz, entrusted with the care of young Renate after the death of Bernd von Vitzewitz's wife in 1806. She has become a beloved member of the family and is not considered a peripheral character in the story.

Social Interactions:
Brigitte's social interactions primarily revolve around her relationship with the Vitzewitz family. She is highly respected and valued by all family members. However, there are differing opinions regarding her Christianity. While Berndt holds deep respect for her Moravian beliefs and appreciates her lack of passion as a blessing, Lewin and Renate find her passionlessness disconcerting, as she tends to offer Christian proverbs instead of words of empathy and sympathy.

Key Actions:

Brigitte provides comfort and solace to Renate by sharing the story of Kajarnak, the first baptized Greenlander, when Renate is feverish.

When Lewin falls ill at the Bohlsdorfer Krug inn, Brigitte stays there with Renate and takes care of him.

Brigitte sympathizes with the conventicler Uhlenhorst and his followers, indicating her alignment with their religious beliefs.

Generalmajor von Bamme despises Brigitte, and when he stays at Hohen-Vietz, she strictly instructs all female servants not to enter his room, even when he rings the bell persistently.

Brigitte advises Marie to reject Bamme's inheritance.

Brigitte Schorlemmer's character embodies a sense of calmness and tranquility in the midst of turbulent times. While her actions may not be central to the main plot, she serves as a source of stability and support within the Vitzewitz household. Her Moravian beliefs and stoic demeanor elicit various reactions from different family members, reflecting the complexity of her character and the differing perspectives on faith and compassion."
Tante Amalie/Gräfin Pudagla,Before the Storm,1878,f,"Countess Amelie Pudagla, born Amelie von Vitzewitz, is a character in Theodor Fontane's novel ""Before the Storm."" Here is a description of Countess Amelie, including different aspects of her physical, mental, behavioral, social, and other attributes, as well as key actions:

Physical Description:
The available information does not provide a specific physical description of Countess Amelie Pudagla. However, given her aristocratic background and the societal expectations of the time, she is likely portrayed as a woman of refinement and elegance.

Mental Attributes:
Countess Amelie's self-perception and worldview are heavily influenced by her years at the Rheinsberg court and her connection to Prince Heinrich of Prussia. She considers herself enlightened and liberal, often quoting Montesquieu and Rousseau. Despite her intellectual beliefs, she remains attached to notions of social hierarchy, although she acknowledges the contradiction in her thinking.

Behavioral Traits:
As a widow, Countess Amelie adheres to the custom of wearing black and a forehead veil, following the example of ruling houses. She is superstitious and believes in the presence of a ""black woman"" ghost in Schloss Guse, her residence. To protect herself from this spirit, she has a large trumeau mirror in her bedroom veiled every evening.

Social Interactions:
Countess Amelie surrounds herself with an exclusively male ""circle of friends"" in Guse, including individuals like Drosselstein, Krach, Bamme, Pehlemann, Medewitz, Rutze, and Faulstich. Her social circle reflects her aversion towards women, which has developed into an almost maniacal dislike over the years.

Key Actions:

Countess Amelie moves to Schloss Guse after the death of her husband and becomes the ""soul"" of the courtly society around Prince Heinrich of Prussia. She maintains a correspondence with Prince Heinrich until his death in 1802.

As the aunt of Renate and Lewin von Vitzewitz, as well as Kathinka and Pertubal von Ladalinski, Countess Amelie desires a double marriage between the two families, which aligns with the wishes of the Vitzewitz siblings. However, she expresses some uncertainty about the young Ladalinski siblings' suitability for the match.

Countess Amelie dies in late January 1813 due to shock when her chambermaid forgets to veil the mirror in her bedroom. Her funeral follows the strict instructions she left behind, with Lewin and Renate unable to attend due to Lewin's illness. The inheritance of Schloss Guse falls to Berndt von Vitzewitz, who plans to pass it on to Renate once she marries Tubal, in consultation with Geheimrat von Ladalinski.

Countess Amelie Pudagla's character reflects the clash between her enlightened ideals and the lingering adherence to social hierarchy. She plays a significant role in the family dynamics, particularly in her aspirations for the marriage between the Vitzewitz and Ladalinski families, and her superstitious beliefs add a touch of mystery to her character."
Effi Briest,Effi Briest,1894,f,"Effi Briest is the titular character in Theodor Fontane's novel ""Effi Briest."" Here is a description of Effi, encompassing different aspects of her physical, mental, behavioral, social, and other attributes, as well as key actions:

Physical Description:
Effi Briest is introduced in the story at the age of 17. She is described as a spirited young girl, with an appearance that combines ""high spirits and grace."" Her brown eyes convey a sense of natural intelligence, vitality, and kindness. She is depicted wearing loose, smock-like linen dresses.

Mental Attributes:
Effi is portrayed as lacking refined manners and behaving in an un-ladylike manner. She is carefree, adventurous, and enjoys engaging in reckless games. While she possesses some naivety and a tendency to conform to societal norms, she also demonstrates moments of insight and self-reflection.

Behavioral Traits:
Effi exhibits a fondness for adventure, excitement, and avoiding boredom. She is attracted to the extraordinary and unique rather than mundane possessions or experiences. Her desires are often driven by social ambition and the need for amusement and diversion. Effi tends to go along with established norms and expectations, often suppressing her own feelings and desires.

Social Interactions:
Effi's social interactions are shaped by her upbringing and the society she belongs to. Her engagement to the 38-year-old Landrat Geert von Innstetten, which contrasts sharply with her own character, reveals her inclination to accept social norms and predefined life rules. She values social standing and appearance, expressing a desire to make an impression and create a name for herself in society.

Key Actions:

Effi agrees to her engagement with Innstetten, following her mother's advice, despite the stark contrast in their characters. This decision reflects her tendency to conform to social expectations and her desire for stability and social status.

Effi's affair with Major Crampas is driven by her unfulfilled need for excitement, attention, and adventure. It is not a form of revenge against her inattentive husband, whom she respects, nor does it stem from deep feelings for Crampas. Her actions are motivated by her own longing for variety and diversion.

Following her affair, Effi moves to Berlin, where she finds love, societal success, and acceptance. She becomes a lady-in-waiting to the Empress. Her life gradually improves, but she still harbors guilt and shame over her past actions.

Effi's life takes a tragic turn when Innstetten divorces her after discovering her past affair. She faces the hardships of being a divorced woman, isolated from society, and estranged from her child. Effi's existence becomes a lonely and sorrowful one, marked by her longing for acceptance and meaningful connections.

Years later, Effi is allowed to return to her parents' home in Hohen-Cremmen, where she experiences a brief resurgence of joy and reconciliation. However, her health gradually declines, and she faces her impending death with a calm acceptance, having made peace with God, society, and even Innstetten.

Effi Briest's character embodies a complex interplay between conformity and rebellion, societal expectations, and personal desires. She struggles with the consequences of her actions and the limitations imposed on her by a rigid society. Ultimately, Effi's story explores themes of societal norms, personal freedom, and the consequences of straying from established paths."
Geert von Innstetten,Effi Briest,1894,m,"Geert von Innstetten, Effi's husband in Theodor Fontane's novel ""Effi Briest,"" can be described in different aspects including physical, mental, behavioral, social, and others. Here is a description of Geert von Innstetten based on the available information:

Physical Description:
Geert von Innstetten is described as a handsome man, tall and slender with a military posture. He has a brunette hair color and is depicted as an attractive individual.

Mental Attributes:
Geert is portrayed as an intelligent and principled man. He is a Prussian Baron and a dedicated civil servant, holding positions such as Landrat in the Pomeranian town of Kessin and later becoming a Ministerialrat in Berlin. Geert is ambitious and values his career, seeking recognition and advancement. He is seen as a man of character and principles, which evokes both fear and admiration in Effi.

Behavioral Traits:
Geert embodies the ideals of a Prussian bureaucrat. He is duty-bound, correct, and adheres to social norms and expectations. Effi perceives him as somewhat distant and lacking in affection, which she attributes to his desire to maintain his career and conform to societal standards. Geert tends to prioritize his professional obligations over his relationship with Effi, often neglecting her need for attention and stimulation.

Social Standing:
Geert is a respected figure in society, and his career is of great importance to him. He aspires to rise through the ranks and values the favor of influential individuals such as Bismarck. Geert's social status is associated with his adherence to societal norms and his commitment to maintaining a reputable position.

Key Actions:

Geert proposes to Effi after a brief acquaintance and they marry soon after.
He takes Effi to live in Kessin, where he holds the position of Landrat.
Geert fails to understand Effi's need for amusement and adventure, often neglecting to provide her with the attention and stimulation she desires.
He uses the story of the Chinese and the alleged haunting in their new home as a form of psychological control over Effi.
Geert discovers Effi's affair with Crampas and chooses to duel with Crampas and divorce Effi, following societal norms and his own sense of honor.
Geert experiences regret and doubt after the duel, questioning the consequences of his actions.
He lives a desolate life after the divorce, feeling that his happiness is forever lost and contemplating leaving society behind, perhaps by going to Africa.
In summary, Geert von Innstetten is a complex character in ""Effi Briest."" He embodies the ideals of a Prussian bureaucrat, prioritizing his career and conforming to societal norms. While he may lack emotional warmth and understanding of Effi's needs, he remains a principled individual who adheres to a strict code of conduct. His actions reflect his commitment to maintaining his social standing and personal honor, even if it means sacrificing his marriage and personal happiness."
Major Crampas,Effi Briest,1894,m,"Major von Crampas, a character in Theodor Fontane's novel ""Effi Briest,"" can be described in different aspects including physical, mental, behavioral, social, and others. Here is a description of Major von Crampas based on the available information:

Physical Description:
Major von Crampas is described as a handsome man with a reddish-blond mustache. He is depicted as a charming and attractive individual.

Mental Attributes:
Crampas is portrayed as a man of many affairs and a risk-taker. He is seen as someone who enjoys living life with a sense of light-heartedness and recklessness. He has a disregard for societal norms and believes that true happiness lies beyond them. Crampas is willing to take risks in pursuit of pleasure and excitement.

Behavioral Traits:
Crampas is known for his flirtatious nature and his ability to charm women. In the presence of his jealous wife, he appears reserved and uneasy, but when she is absent, he can be lively and playful. He engages in witty conversations, shares poems and stories, and is adept at entertaining Effi during their horseback rides. He manipulates Effi's perception of Innstetten, sharing anecdotes and character traits that cast Innstetten in a less favorable light, perhaps to further his own romantic pursuits.

Social Standing:
As the new ""Landwehrbezirkskommandeur"" in Kessin, Crampas holds a respected position in society. He is married and has two children. However, he does not conform to societal norms and disregards the sanctity of marriage, engaging in extramarital affairs.

Key Actions:

Crampas develops a love affair with Effi, viewing it as a risky game with potentially high rewards.
He rejects Effi's desire for seriousness in their relationship, emphasizing the importance of light-heartedness and disregarding societal norms.
When faced with Innstetten's challenge to a duel, Crampas exhibits resignation and accepts his fate, knowing that he may not come out of the situation unscathed.
Crampas is fatally wounded by Innstetten's bullet during the duel, and in his dying moments, he appears to have something to say to Innstetten, expressing a sentiment that suggests Innstetten could have spared him and himself.
In summary, Major von Crampas in ""Effi Briest"" is portrayed as a charming and reckless individual who enjoys taking risks and engaging in extramarital affairs. He rejects societal norms and believes that happiness lies beyond them. Crampas's actions and attitudes stand in stark contrast to the more principled and conformist character of Innstetten"
Frau von Crampas,Effi Briest,1894,f,"Majorin von Crampas, a character in Theodor Fontane's novel ""Effi Briest,"" can be described in different aspects including physical, mental, behavioral, social, and others. Here is a description of Majorin von Crampas based on the available information:

Physical Description:
No specific physical description of Majorin von Crampas is provided in the available information.

Mental Attributes:
Majorin von Crampas is portrayed as melancholic and often in a state of unhappiness. She is consumed by jealousy, particularly towards Effi, due to her husband's reputation for having multiple affairs. Her melancholic disposition is likened to that of a mentally ill woman named Frau Kruse, but Effi distinguishes between the two, stating that Majorin von Crampas is unhappy while Frau Kruse is unsettling.

Behavioral Traits:
Majorin von Crampas's behavior is characterized by her constant state of unease and melancholy, primarily caused by her husband's infidelities. She is observed to be vigilant and suspicious of her husband's interactions with Effi. Effi's attempts to establish a friendly relationship with her are unsuccessful. Majorin von Crampas often finds herself left behind as her husband makes excuses to keep her at home, allowing him to engage in extramarital affairs.

Social Standing:
As the wife of Major von Crampas, Majorin von Crampas holds a position within the upper social strata. However, her unease and melancholy prevent her from establishing meaningful connections with others, including Effi and Innstetten.

In summary, Majorin von Crampas in ""Effi Briest"" is depicted as a melancholic and jealous woman who is deeply affected by her husband's infidelities. Her behavior is characterized by suspicion and an inability to establish positive relationships with others. While she occupies a respectable social position, her unhappiness prevents her from finding contentment and genuine connections."
Briest,Effi Briest,1894,m,"Briest, a character in Theodor Fontane's novel ""Effi Briest,"" can be described in different aspects including physical, mental, behavioral, social, and others. Here is a description of Briest based on the available information:

Physical Description:
No specific physical description of Briest is provided in the available information.

Mental Attributes:
Briest is portrayed as a man with skeptical and humorous views, characterized by self-irony. He possesses a relaxed and detached attitude towards philosophical and normative questions. He often uses the phrase ""es ist ein weites Feld"" (it is a broad field) to express his skepticism and resistance to definitive answers or moral judgments. Briest's skepticism stems from his belief that some questions cannot be definitively resolved and are best left open.

Behavioral Traits:
Briest tends to go with the flow of things and is inclined to leave matters to his wife, Luise von Briest. He defers to her judgment in important decisions, such as Effi's engagement to Innstetten, which was mainly influenced by Luise von Briest's advice. However, he does express doubts after the marriage and repeatedly raises concerns about Effi's happiness in conversations with his wife. Despite his doubts, he follows Luise von Briest's decisions, often to his own unhappiness.

Social Standing:
As a landowner and member of the nobility, Briest holds a respected social position within the community. However, he maintains a skeptical attitude towards societal norms and conventions, demonstrating a degree of independence from the expectations of the ""good society.""

Key Actions:
Briest's key actions include his initial support for Effi's engagement to Innstetten, influenced by Luise von Briest's encouragement. He later expresses doubts about Effi's happiness in the marriage but defers to Luise von Briest's decisions. Briest's passivity and willingness to let things unfold change when he receives a letter from Rummschüttel, urging him to bring Effi back home after her mental breakdown. Briest defies Luise von Briest's objections and sends Effi a telegram, inviting her to come back. This action demonstrates his willingness to take charge and deviate from his usual passive demeanor.

In summary, Briest in ""Effi Briest"" is depicted as a middle-aged man with a skeptical and humorous outlook on life. He tends to defer to his wife's decisions, even if he harbors doubts. However, he displays moments of assertiveness when he believes it is necessary, showing his independence from societal norms. Briest's character provides a contrast to his wife's more traditional and conservative views, as well as to Innstetten's compliance with societal expectations."
